PHO (wt.%),NGF (ng/mL),LAM (ug/cm2),Adhesion
0.25,25,41.3,1
0.25,25,82.6,1
0.25,25,124.0,1
0.25,25,165.3,1
0.25,50,41.3,1
0.25,75,41.3,1
0.25,75,82.6,1
0.25,75,124.0,1
0.25,75,165.3,1
0.25,100,124.0,1
0.25,50,82.6,1
0.25,50,124.0,1
0.25,50,165.3,1
0.25,100,41.3,1
0.25,100,82.6,1
0.25,100,165.3,1
0.5,50,41.3,1
0.5,50,124.0,1
0.5,75,41.3,1
0.5,75,82.6,1
0.5,75,165.3,1
0.5,25,41.3,1
0.5,25,82.6,1
0.5,25,165.3,1
0.5,100,41.3,1
0.5,100,124.0,1
0.5,25,124.0,1
0.5,45,10.3,1
0.5,75,124.0,1
0.6,10,103.3,0
0.75,25,165.3,1
0.75,50,41.3,1
0.75,50,124.0,1
0.75,50,165.3,1
0.75,75,82.6,1
0.75,100,124.0,1
0.75,50,82.6,1
0.75,75,41.3,1
0.75,75,165.3,1
0.75,100,165.3,1
0.75,25,41.3,1
0.75,25,82.6,1
0.75,25,124.0,1
0.75,75,124.0,1
0.75,100,41.3,0
0.75,100,82.6,0
0.8,35,165.3,1
0.8,80,10.3,1
1.0,25,41.3,0
1.0,25,82.6,0
1.0,75,124.0,0
1.0,75,165.3,1
1.0,25,124.0,0
1.0,25,165.3,0
1.0,50,41.3,0
1.0,50,124.0,0
1.0,75,41.3,0
1.0,75,82.6,0
1.0,100,41.3,0
1.0,100,124.0,0
1.0,0,82.6,0
1.0,0,165.3,0
1.0,25,82.6,0
1.0,75,124.0,0
1.0,75,165.3,0
1.0,100,82.6,0
1.0,100,124.0,0
1.0,100,165.3,0
1.25,25,82.6,0
1.25,25,124.0,0
1.25,50,124.0,0
1.25,75,41.3,0
1.25,100,41.3,0
1.25,100,82.6,0
1.25,100,124.0,0
1.25,25,41.3,0
1.25,25,165.3,0
1.25,50,41.3,0
1.25,50,82.6,0
1.25,50,165.3,0
1.25,75,82.6,0
1.25,75,124.0,0
1.25,75,165.3,0
1.25,100,165.3,0
1.5,25,41.3,0
1.5,25,124.0,0
1.5,50,41.3,0
1.5,75,41.3,0
1.5,75,82.6,0
1.5,75,165.3,0
1.5,25,82.6,0
1.5,25,165.3,0
1.5,50,124.0,0
1.5,75,124.0,0
1.5,100,41.3,0
1.5,100,124.0,0
1.75,25,41.3,0
1.75,25,165.3,0
1.75,50,82.6,0
2.0,25,124.0,0
2.0,50,41.3,0
2.0,100,41.3,0
