PHO_std,NGF_std,LAM_std,Adhesion
1.0,1.0,0.19999999999999996,0
0.7142857142857142,0.75,0.7335483870967743,0
0.2857142857142857,0.25,0.46645161290322573,1
0.0,1.0,0.46645161290322573,1
0.0,0.5,1.0000000000000002,1
0.42857142857142855,0.25,0.7335483870967743,0
0.14285714285714285,0.75,0.7335483870967743,1
0.14285714285714285,0.25,0.46645161290322573,1
0.2857142857142857,1.0,0.46645161290322573,0
0.14285714285714285,1.0,0.19999999999999996,1
0.42857142857142855,1.0,0.7335483870967743,0
0.2857142857142857,1.0,1.0000000000000002,1
1.0,0.25,0.7335483870967743,0
0.2857142857142857,0.5,0.7335483870967743,1
0.5714285714285714,1.0,1.0000000000000002,0
0.3142857142857143,0.8,0.0,1
0.0,0.25,1.0000000000000002,1
0.0,0.75,0.7335483870967743,1
0.8571428571428572,0.25,0.19999999999999996,0
0.42857142857142855,0.25,0.46645161290322573,0
0.42857142857142855,0.25,0.19999999999999996,0
0.14285714285714285,0.5,0.7335483870967743,1
0.5714285714285714,0.75,1.0000000000000002,0
0.5714285714285714,0.5,1.0000000000000002,0
0.14285714285714285,0.45,0.0,1
0.0,0.25,0.19999999999999996,1
0.8571428571428572,0.5,0.46645161290322573,0
1.0,0.5,0.19999999999999996,0
0.42857142857142855,0.75,1.0000000000000002,0
0.7142857142857142,0.75,0.19999999999999996,0
0.0,0.25,0.46645161290322573,1
0.42857142857142855,0.75,0.7335483870967743,0
0.5714285714285714,0.75,0.19999999999999996,0
0.42857142857142855,0.75,0.19999999999999996,0
0.42857142857142855,0.5,0.19999999999999996,0
0.7142857142857142,1.0,0.7335483870967743,0
0.2857142857142857,0.25,1.0000000000000002,1
0.0,0.75,1.0000000000000002,1
0.0,0.75,0.46645161290322573,1
0.42857142857142855,0.0,0.46645161290322573,0
0.0,1.0,0.7335483870967743,1
0.14285714285714285,0.25,1.0000000000000002,1
0.8571428571428572,0.25,1.0000000000000002,0
0.3142857142857143,0.35000000000000003,1.0000000000000002,1
0.7142857142857142,0.25,0.46645161290322573,0
0.42857142857142855,1.0,1.0000000000000002,0
0.7142857142857142,0.25,0.19999999999999996,0
0.42857142857142855,0.5,0.7335483870967743,0
0.2857142857142857,1.0,0.19999999999999996,0
0.0,1.0,0.19999999999999996,1
0.42857142857142855,0.75,0.46645161290322573,0
0.14285714285714285,0.25,0.7335483870967743,1
0.7142857142857142,0.5,0.19999999999999996,0
0.5714285714285714,0.5,0.7335483870967743,0
0.2857142857142857,0.5,0.19999999999999996,1
0.2857142857142857,0.75,0.7335483870967743,1
0.5714285714285714,1.0,0.46645161290322573,0
0.42857142857142855,1.0,0.7335483870967743,0
0.2857142857142857,0.75,1.0000000000000002,1
0.7142857142857142,0.75,0.46645161290322573,0
0.5714285714285714,1.0,0.7335483870967743,0
0.2857142857142857,0.75,0.46645161290322573,1
0.5714285714285714,0.75,0.46645161290322573,0
0.42857142857142855,1.0,0.19999999999999996,0
0.2857142857142857,0.75,0.19999999999999996,1
0.0,0.25,0.7335483870967743,1
0.2857142857142857,0.5,0.46645161290322573,1
0.5714285714285714,0.5,0.19999999999999996,0
0.5714285714285714,0.75,0.7335483870967743,0
0.2857142857142857,0.25,0.7335483870967743,1
0.5714285714285714,1.0,0.19999999999999996,0
0.42857142857142855,0.75,0.7335483870967743,0
0.14285714285714285,0.25,0.19999999999999996,1
0.14285714285714285,0.75,0.46645161290322573,1
0.42857142857142855,0.75,1.0000000000000002,1
0.7142857142857142,0.25,1.0000000000000002,0
0.0,0.75,0.19999999999999996,1
0.42857142857142855,0.25,0.46645161290322573,0
0.14285714285714285,0.75,1.0000000000000002,1
0.7142857142857142,0.5,0.7335483870967743,0
0.7142857142857142,0.75,1.0000000000000002,0
0.7142857142857142,1.0,0.19999999999999996,0
0.14285714285714285,0.75,0.19999999999999996,1
0.19999999999999996,0.1,0.6,0
0.5714285714285714,0.5,0.46645161290322573,0
0.0,0.5,0.7335483870967743,1
0.5714285714285714,0.25,0.7335483870967743,0
0.2857142857142857,1.0,0.7335483870967743,1
0.5714285714285714,0.25,0.46645161290322573,0
0.7142857142857142,0.25,0.7335483870967743,0
0.2857142857142857,0.5,1.0000000000000002,1
